Date & Time,MW
"Wednesday, January 20, 2021",240
"Wednesday, January 20, 2021",107
"Wednesday, January 20, 2021",224
"Wednesday, January 20, 2021",100
"Wednesday, January 20, 2021",40
"Wednesday, January 20, 2021",20
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Wednesday, January 20, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",240
"Thursday, January 21, 2021",240
"Thursday, January 21, 2021",264
"Thursday, January 21, 2021",264
"Thursday, January 21, 2021",280
"Thursday, January 21, 2021",260
"Thursday, January 21, 2021",252
"Thursday, January 21, 2021",96
"Thursday, January 21, 2021",68
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Thursday, January 21, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",60
"Friday, January 22, 2021",224
"Friday, January 22, 2021",280
"Friday, January 22, 2021",296
"Friday, January 22, 2021",296
"Friday, January 22, 2021",296
"Friday, January 22, 2021",296
"Friday, January 22, 2021",296
"Friday, January 22, 2021",280
"Friday, January 22, 2021",112
"Friday, January 22, 2021",12
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Friday, January 22, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",0
"Saturday, January 23, 2021",32
